,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
114,114,1995-01-01,0.0610264913104613,0.3669737652675794,1987,0.8255773607115736,470000.0,470000.0,470000.0,470000.0,470000.0,460000.0,53702.88632839034
115,115,1995-01-01,0.6807795732595588,0.6182309286731459,1987,0.8255773607115736,420000.0,470000.0,470000.0,470000.0,470000.0,466000.0,44136.15298142798
119,119,1995-02-01,0.0610264913104613,0.1994689896638685,1987,0.8255773607115736,423000.0,429000.0,429000.0,429000.0,429000.0,417000.0,46292.54799641099
123,123,1995-04-01,-1.1784796725877336,-0.1355405615435532,1987,0.8255773607115736,463000.0,464000.0,464000.0,464000.0,464000.0,476000.0,29715.315916207514
131,131,1995-07-01,0.0610264913104613,0.1994689896638685,1987,0.8255773607115736,490000.0,475000.0,475000.0,475000.0,475000.0,488666.6666666667,28023.799409311887
141,141,1996-01-01,0.0610264913104613,0.3669737652675794,1987,0.7180392006762468,500000.0,523000.0,523000.0,523000.0,523000.0,533666.6666666666,45170.04907384269
142,142,1996-01-01,-0.5587265906386362,-2.4806074199955064,1987,0.7180392006762468,400000.0,523000.0,523000.0,523000.0,523000.0,495000.0,92601.2958872608
143,143,1996-01-01,-0.5587265906386362,0.283221377465724,1987,0.7180392006762468,680000.0,523000.0,523000.0,523000.0,523000.0,526666.6666666666,141891.97769195185
147,147,1996-02-01,0.0610264913104613,1.4557548066917008,1987,0.7180392006762468,535000.0,507500.0,507500.0,507500.0,507500.0,493333.3333333333,36855.57397916027
148,148,1996-02-01,0.0610264913104613,-2.4806074199955064,1987,0.7180392006762468,460000.0,507500.0,507500.0,507500.0,507500.0,486666.6666666667,41932.48541803069
149,149,1996-02-01,-0.5587265906386362,0.3669737652675794,1987,0.7180392006762468,578000.0,507500.0,507500.0,507500.0,507500.0,524333.3333333334,59718.78543082866
153,153,1996-03-01,0.0610264913104613,0.3669737652675794,1987,0.7180392006762468,570000.0,560000.0,560000.0,560000.0,560000.0,548666.6666666666,28728.615235220594
160,160,1996-05-01,-0.5587265906386362,0.3669737652675794,1987,0.7180392006762468,736000.0,575000.0,575000.0,575000.0,575000.0,633666.6666666666,88658.520929087
161,161,1996-05-01,0.6807795732595588,-2.4806074199955064,1987,0.7180392006762468,550000.0,575000.0,575000.0,575000.0,575000.0,623666.6666666666,98844.99650125622
162,162,1996-05-01,-1.1784796725877336,-2.3131026443917952,1987,0.7180392006762468,570000.0,575000.0,575000.0,575000.0,575000.0,618666.6666666666,102104.52161061896
166,166,1996-07-01,0.6807795732595588,-0.9730644395621078,1987,0.7180392006762468,740000.0,594000.0,594000.0,594000.0,594000.0,630000.0,98488.57801796115
