,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
234,234,1994-01-01,-0.5587265906386362,0.7184602031295791,1975,1.002308872585076,22000.0,23000.0,23000.0,23000.0,23000.0,17666.666666666668,3785.938897200176
238,238,1994-02-01,0.6807795732595588,0.7184602031295791,1975,1.002308872585076,25000.0,18000.0,18000.0,18000.0,18000.0,26666.666666666668,4725.815626252588
239,239,1994-02-01,-1.1784796725877336,-1.2861891389359132,1969,0.2084608537903664,18000.0,18000.0,18000.0,18000.0,18000.0,25000.0,6999.999999999987
240,240,1994-02-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,20000.0,18000.0,18000.0,18000.0,18000.0,21000.0,3605.5512754639713
241,241,1994-02-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,16000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1999.9999999999775
242,242,1994-02-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,17000.0,18000.0,18000.0,18000.0,18000.0,17666.666666666668,2081.665999466112
243,243,1994-02-01,-1.1784796725877336,-1.2861891389359132,1969,0.2084608537903664,10500.0,18000.0,18000.0,18000.0,18000.0,14500.0,3499.9999999999945
244,244,1994-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,18000.0,18000.0,18000.0,18000.0,18000.0,15166.666666666666,4072.263907623533
245,245,1994-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,18000.0,18000.0,18000.0,18000.0,18000.0,15500.0,4330.127018922187
246,246,1994-02-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,24900.0,18000.0,18000.0,18000.0,18000.0,20300.0,3983.716857408403
255,255,1994-05-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,22000.0,22000.0,22000.0,22000.0,22000.0,23666.666666666668,2886.751345948103
256,256,1994-05-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,19000.0,22000.0,22000.0,22000.0,22000.0,21000.0,1732.050807568845
257,257,1994-05-01,0.6807795732595588,-1.2861891389359132,1969,0.2084608537903664,20000.0,22000.0,22000.0,22000.0,22000.0,20333.333333333332,1527.5252316519131
258,258,1994-05-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,18000.0,22000.0,22000.0,22000.0,22000.0,19000.0,999.9999999999586
259,259,1994-05-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,19000.0,22000.0,22000.0,22000.0,22000.0,19000.0,999.9999999999586
260,260,1994-05-01,0.6807795732595588,0.7184602031295791,1977,1.2669248788499794,32500.0,22000.0,22000.0,22000.0,22000.0,23166.666666666668,8098.353742170886
261,261,1994-05-01,-0.5587265906386362,0.7184602031295791,1977,1.2669248788499794,25000.0,22000.0,22000.0,22000.0,22000.0,25500.0,6763.8746292343285
265,265,1994-06-01,-1.1784796725877336,0.7184602031295791,1977,1.2669248788499794,30500.0,28000.0,28000.0,28000.0,28000.0,29500.0,4092.6763859361968
266,266,1994-06-01,-1.1784796725877336,0.7184602031295791,1975,1.002308872585076,22000.0,28000.0,28000.0,28000.0,28000.0,28500.0,5766.281297335379
267,267,1994-06-01,-1.1784796725877336,0.7184602031295791,1975,1.002308872585076,32000.0,28000.0,28000.0,28000.0,28000.0,28166.666666666668,5392.896562454459
268,268,1994-06-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,23000.0,28000.0,28000.0,28000.0,28000.0,25666.666666666668,5507.570547286086
269,269,1994-06-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,25500.0,28000.0,28000.0,28000.0,28000.0,26833.333333333332,4645.786621588764
270,270,1994-06-01,-1.1784796725877336,-2.2885138099686597,1969,0.2084608537903664,28000.0,28000.0,28000.0,28000.0,28000.0,25500.0,2499.9999999999673
274,274,1994-07-01,0.6807795732595588,0.7184602031295791,1977,1.2669248788499794,30300.0,28000.0,28000.0,28000.0,28000.0,30433.333333333332,5501.211987674453
275,275,1994-07-01,-0.5587265906386362,0.7184602031295791,1977,1.2669248788499794,37000.0,28000.0,28000.0,28000.0,28000.0,34433.333333333336,3614.3233576055486
276,276,1994-07-01,-0.5587265906386362,0.7184602031295791,1977,1.2669248788499794,28000.0,28000.0,28000.0,28000.0,28000.0,31766.666666666668,4675.8243479982275
277,277,1994-07-01,-0.5587265906386362,0.7184602031295791,1975,1.002308872585076,28000.0,28000.0,28000.0,28000.0,28000.0,31000.0,5196.152422706605
278,278,1994-07-01,0.6807795732595588,0.7184602031295791,1975,1.002308872585076,30000.0,28000.0,28000.0,28000.0,28000.0,28666.666666666668,1154.7005383791284
279,279,1994-07-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,35000.0,28000.0,28000.0,28000.0,28000.0,31000.0,3605.55127546395
280,280,1994-07-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,28000.0,28000.0,28000.0,28000.0,28000.0,31000.0,3605.55127546395
281,281,1994-07-01,-1.1784796725877336,-1.2861891389359132,1969,0.2084608537903664,20000.0,28000.0,28000.0,28000.0,28000.0,27666.666666666668,7505.553499465117
282,282,1994-07-01,-1.1784796725877336,-1.2861891389359132,1969,0.2084608537903664,15000.0,28000.0,28000.0,28000.0,28000.0,21000.0,6557.438524301981
283,283,1994-07-01,0.6807795732595588,0.7184602031295791,1975,1.002308872585076,25000.0,28000.0,28000.0,28000.0,28000.0,20000.0,4999.999999999974
284,284,1994-07-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,25000.0,28000.0,28000.0,28000.0,28000.0,21666.666666666668,5773.502691896234
288,288,1994-08-01,0.6807795732595588,-1.2861891389359132,1969,0.2084608537903664,34500.0,29500.0,29500.0,29500.0,29500.0,25500.0,9836.157786452988
292,292,1994-10-01,0.6807795732595588,-1.2861891389359132,1969,0.2084608537903664,33600.0,32300.0,32300.0,32300.0,32300.0,30866.666666666668,2802.3799409311114
296,296,1994-11-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,22000.0,24000.0,24000.0,24000.0,24000.0,22333.333333333332,2516.6114784235256
297,297,1994-11-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,30000.0,24000.0,24000.0,24000.0,24000.0,24000.0,5291.502622129154
301,301,1994-12-01,-1.1784796725877336,-2.2885138099686597,1969,0.2084608537903664,21500.0,25000.0,25000.0,25000.0,25000.0,25500.0,4272.0018726587305
302,302,1994-12-01,0.6807795732595588,-1.2861891389359132,1969,0.2084608537903664,25000.0,25000.0,25000.0,25000.0,25000.0,23833.333333333332,2020.7259421636168
303,303,1994-12-01,-0.5587265906386362,-1.2861891389359132,1969,0.2084608537903664,20000.0,25000.0,25000.0,25000.0,25000.0,22166.666666666668,2565.8007197233846
304,304,1994-12-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,25000.0,25000.0,25000.0,25000.0,25000.0,23333.333333333332,2886.751345948078
305,305,1994-12-01,0.6807795732595588,-1.2861891389359132,1969,0.2084608537903664,25000.0,25000.0,25000.0,25000.0,25000.0,23333.333333333332,2886.751345948078
306,306,1994-12-01,0.0610264913104613,-1.2861891389359132,1969,0.2084608537903664,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,0.0
310,310,1995-01-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,33000.0,28000.0,28000.0,28000.0,28000.0,29000.0,3605.5512754639485
314,314,1995-02-01,0.0610264913104613,-1.2861891389359132,1969,0.0761528506579149,32500.0,30500.0,30500.0,30500.0,30500.0,33166.666666666664,4536.885862938701
315,315,1995-02-01,-0.5587265906386362,-1.2861891389359132,1969,0.0761528506579149,31000.0,30500.0,30500.0,30500.0,30500.0,33833.333333333336,3685.5573979159594
316,316,1995-02-01,0.0610264913104613,0.7184602031295791,1975,0.8700008694526244,25000.0,30500.0,30500.0,30500.0,30500.0,29500.0,3968.6269665968553
320,320,1995-03-01,0.6807795732595588,-1.2861891389359132,1969,0.0761528506579149,30000.0,30500.0,30500.0,30500.0,30500.0,32000.0,5291.502622129157
321,321,1995-03-01,0.0610264913104613,0.7184602031295791,1975,0.8700008694526244,31000.0,30500.0,30500.0,30500.0,30500.0,29666.666666666668,1527.5252316518895
322,322,1995-03-01,0.0610264913104613,-1.2861891389359132,1969,0.0761528506579149,30000.0,30500.0,30500.0,30500.0,30500.0,30333.333333333332,577.3502691894591
329,329,1995-05-01,0.6807795732595588,-1.2861891389359132,1969,0.0761528506579149,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,0.0
