[I 2025-01-08 13:58:08,131] Trial 36 finished with value: 28468.215755295325 and parameters: {'iterations': 2053, 'depth': 12, 'learning_rate': 0.07119922319083198, 'l2_leaf_reg': 5.6916797088704305, 'bagging_temperature': 0.6980491050173465, 'random_strength': 0.0011023594657900782, 'border_count': 143, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 3, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 14:00:56,785] Trial 37 finished with value: 31997.682868578177 and parameters: {'iterations': 1773, 'depth': 4, 'learning_rate': 0.16025517958932892, 'l2_leaf_reg': 0.3751586150052036, 'bagging_temperature': 0.9389787694152794, 'random_strength': 0.0018876299348144234, 'border_count': 208, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 5}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 14:08:22,624] Trial 38 finished with value: 29111.447108708857 and parameters: {'iterations': 2483, 'depth': 11, 'learning_rate': 0.0802589219204024, 'l2_leaf_reg': 9.915350539742832, 'bagging_temperature': 0.5927288706863479, 'random_strength': 0.01258478231372117, 'border_count': 190, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 1, 'one_hot_max_size': 3}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 14:12:06,469] Trial 39 finished with value: 28340.252237644116 and parameters: {'iterations': 1393, 'depth': 10, 'learning_rate': 0.17129338022148655, 'l2_leaf_reg': 0.24127565144831634, 'bagging_temperature': 0.8577437588138404, 'random_strength': 0.004795561924601493, 'border_count': 167, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 4, 'one_hot_max_size': 2}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 14:22:56,546] Trial 40 finished with value: 28168.03476078392 and parameters: {'iterations': 2629, 'depth': 12, 'learning_rate': 0.05838876808829494, 'l2_leaf_reg': 0.12475468765221218, 'bagging_temperature': 0.5384013788509371, 'random_strength': 0.03267877536208554, 'border_count': 253, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 10, 'one_hot_max_size': 8}. Best is trial 2 with value: 28027.538142099846.
[I 2025-01-08 14:33:46,286] Trial 41 finished with value: 28016.27059929441 and parameters: {'iterations': 2864, 'depth': 12, 'learning_rate': 0.11684581661338442, 'l2_leaf_reg': 1.8333086448589881, 'bagging_temperature': 0.7349600056058765, 'random_strength': 0.0016994593753810136, 'border_count': 161, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 5}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 14:44:35,971] Trial 42 finished with value: 28030.892379948113 and parameters: {'iterations': 2888, 'depth': 12, 'learning_rate': 0.12599309393093255, 'l2_leaf_reg': 5.906909765984903, 'bagging_temperature': 0.7083410047104695, 'random_strength': 0.0019794710488806187, 'border_count': 165, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 4}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 14:52:24,728] Trial 43 finished with value: 28470.091920325038 and parameters: {'iterations': 2898, 'depth': 11, 'learning_rate': 0.11363600623560308, 'l2_leaf_reg': 1.5588475376296607, 'bagging_temperature': 0.7090710064529987, 'random_strength': 0.001904188090511722, 'border_count': 163, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 8, 'one_hot_max_size': 5}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:03:01,383] Trial 44 finished with value: 28167.480800018424 and parameters: {'iterations': 2865, 'depth': 12, 'learning_rate': 0.08993756150110532, 'l2_leaf_reg': 7.1905151789524995, 'bagging_temperature': 0.6482802807697248, 'random_strength': 0.007443237251144223, 'border_count': 152, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 3, 'one_hot_max_size': 4}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:11:05,259] Trial 45 finished with value: 31199.738031822617 and parameters: {'iterations': 2650, 'depth': 11, 'learning_rate': 0.011535556940304453, 'l2_leaf_reg': 2.93370978219983, 'bagging_temperature': 0.6101143363971989, 'random_strength': 0.0010083333030966968, 'border_count': 135, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 3}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:22:18,624] Trial 46 finished with value: 28374.82739196031 and parameters: {'iterations': 3000, 'depth': 12, 'learning_rate': 0.19932424155986184, 'l2_leaf_reg': 0.052797788467287506, 'bagging_temperature': 0.6905840433888402, 'random_strength': 0.0032166792407628095, 'border_count': 152, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 10, 'one_hot_max_size': 7}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:29:50,249] Trial 47 finished with value: 28456.385931229288 and parameters: {'iterations': 2799, 'depth': 10, 'learning_rate': 0.12701716065123536, 'l2_leaf_reg': 0.01441589246569547, 'bagging_temperature': 0.7654675752952652, 'random_strength': 0.0018693134705919298, 'border_count': 180, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 2, 'one_hot_max_size': 5}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:33:19,817] Trial 48 finished with value: 30206.783942306727 and parameters: {'iterations': 1106, 'depth': 11, 'learning_rate': 0.038107955789722106, 'l2_leaf_reg': 0.004348775091684444, 'bagging_temperature': 0.8365710730626399, 'random_strength': 0.006412798801032258, 'border_count': 169, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 6, 'one_hot_max_size': 4}. Best is trial 41 with value: 28016.27059929441.
[I 2025-01-08 15:42:41,219] Trial 49 finished with value: 28087.856445438476 and parameters: {'iterations': 2463, 'depth': 12, 'learning_rate': 0.09747868445754367, 'l2_leaf_reg': 0.5612677398854425, 'bagging_temperature': 0.7341601480389768, 'random_strength': 0.5006281496605194, 'border_count': 137, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 7, 'one_hot_max_size': 6}. Best is trial 41 with value: 28016.27059929441.
