year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
2007-02-01,239137.42344045368,232000.0,255400.0,213000.0,75.88689901,1.20%,239137.42344045368,231666.66666666666
2007-03-01,240608.9639037433,235000.0,259916.0,210000.0,75.88689901,1.20%,239137.42344045368,233000.0
2007-04-01,243449.09336465062,235500.0,260000.0,215000.0,78.16350598,3.00%,240608.9639037433,234166.66666666666
2007-05-01,243449.09336465062,235500.0,260000.0,215000.0,78.16350598,3.00%,243449.09336465062,235333.33333333334
2007-06-01,245750.98461928935,238000.0,261625.0,215750.0,78.16350598,3.00%,243449.09336465062,236333.33333333334
2007-07-01,250078.1780986763,240000.0,267000.0,217000.0,83.24413387,6.50%,245750.98461928935,237833.33333333334
2007-08-01,250078.1780986763,240000.0,267000.0,217000.0,83.24413387,6.50%,250078.1780986763,239333.33333333334
2007-09-01,256714.9708284714,248000.0,273000.0,222500.0,83.24413387,6.50%,250078.1780986763,242666.66666666666
2007-10-01,265122.7003329571,255000.0,284316.0,228000.0,88.07229363,5.80%,256714.9708284714,247666.66666666666
2007-11-01,265122.7003329571,255000.0,284316.0,228000.0,88.07229363,5.80%,265122.7003329571,252666.66666666666
2007-12-01,272319.1425287356,260000.0,290000.0,233000.0,88.07229363,5.80%,265122.7003329571,256666.66666666666
2008-01-01,286284.6387137453,272500.0,315000.0,240000.0,91.3309685,3.70%,272319.1425287356,262500.0
2008-02-01,286284.6387137453,272500.0,315000.0,240000.0,91.3309685,3.70%,286284.6387137453,268333.3333333333
2008-03-01,287327.4644736842,277000.0,310000.0,245000.0,91.3309685,3.70%,286284.6387137453,274000.0
2008-04-01,296698.18518518517,285888.0,325000.0,251000.0,95.44086208,4.50%,287327.4644736842,278462.6666666667
2008-05-01,296698.18518518517,285888.0,325000.0,251000.0,95.44086208,4.50%,296698.18518518517,282925.3333333333
2008-06-01,302814.37807881774,294000.0,330000.0,260000.0,95.44086208,4.50%,296698.18518518517,288592.0
2008-07-01,310149.40901312034,301000.0,340000.0,265000.0,99.44937828,4.20%,302814.37807881774,293629.3333333333
2008-08-01,310149.40901312034,301000.0,340000.0,265000.0,99.44937828,4.20%,310149.40901312034,298666.6666666667
2008-09-01,315961.30235602095,305000.0,342000.0,275000.0,99.44937828,4.20%,310149.40901312034,302333.3333333333
2008-10-01,321901.15346260386,313000.0,347500.0,281000.0,100.8416696,1.40%,315961.30235602095,306333.3333333333
2008-11-01,321901.15346260386,313000.0,347500.0,281000.0,100.8416696,1.40%,321901.15346260386,310333.3333333333
2008-12-01,322340.1812865497,315000.0,346400.0,285000.0,100.8416696,1.40%,321901.15346260386,313666.6666666667
2009-01-01,322424.60352710646,315000.0,348000.0,283000.0,100.0349362,-0.80%,322340.1812865497,314333.3333333333
2009-02-01,322424.60352710646,315000.0,348000.0,283000.0,100.0349362,-0.80%,322424.60352710646,315000.0
2009-03-01,323848.9198855508,313000.0,346000.0,285000.0,100.0349362,-0.80%,322424.60352710646,314333.3333333333
2009-04-01,320933.1343277082,315000.0,343000.0,284000.0,101.4354253,1.40%,323848.9198855508,314333.3333333333
2009-05-01,320933.1343277082,315000.0,343000.0,284000.0,101.4354253,1.40%,320933.1343277082,314333.3333333333
2009-06-01,324711.608045977,318000.0,349000.0,287916.0,101.4354253,1.40%,320933.1343277082,316000.0
2009-07-01,329156.68617021275,319000.0,352000.0,290000.0,105.0871006,3.60%,324711.608045977,317333.3333333333
2009-08-01,329156.68617021275,319000.0,352000.0,290000.0,105.0871006,3.60%,329156.68617021275,318666.6666666667
2009-09-01,333953.0098013245,324000.0,360000.0,295000.0,105.0871006,3.60%,329156.68617021275,320666.6666666667
2009-10-01,339611.23315363884,329000.0,363000.0,300000.0,109.0804105,3.80%,333953.0098013245,324000.0
2009-11-01,339611.23315363884,329000.0,363000.0,300000.0,109.0804105,3.80%,339611.23315363884,327333.3333333333
2009-12-01,341891.97481636936,333000.0,363000.0,305000.0,109.0804105,3.80%,339611.23315363884,330333.3333333333
2010-01-01,350142.0741839763,340000.0,375375.0,308000.0,112.134662,2.80%,341891.97481636936,334000.0
2010-02-01,350142.0741839763,340000.0,375375.0,308000.0,112.134662,2.80%,350142.0741839763,337666.6666666667
2010-03-01,352107.48839779006,340800.0,375000.0,312000.0,112.134662,2.80%,350142.0741839763,340266.6666666667
