iter	Passed	Remaining
1258	108411	138204
1259	108494	138115
1260	108597	138050
1261	108686	137968
1262	108771	137880
1263	108853	137789
1264	108935	137698
1265	109023	137613
1266	109103	137520
1267	109192	137437
1268	109274	137346
1269	109359	137259
1270	109446	137173
1271	109531	137086
1272	109627	137013
1273	109725	136941
1274	109810	136853
1275	109892	136763
1276	109980	136679
1277	110066	136592
1278	110151	136505
1279	110238	136420
1280	110324	136333
1281	110408	136245
1282	110490	136153
1283	110589	136084
1284	110676	135998
1285	110762	135912
1286	110843	135819
1287	110925	135728
1288	111009	135639
1289	111092	135549
1290	111183	135470
1291	111270	135384
1292	111357	135300
1293	111442	135212
1294	111529	135127
1295	111630	135058
1296	111720	134978
1297	111810	134896
1298	111893	134806
1299	111979	134719
1300	112069	134638
1301	112150	134546
1302	112238	134462
1303	112323	134374
1304	112409	134288
1305	112490	134195
1306	112572	134104
1307	112670	134033
1308	112757	133948
1309	112841	133859
1310	112922	133766
1311	113006	133678
1312	113099	133600
1313	113189	133519
1314	113273	133429
1315	113354	133338
1316	113435	133245
1317	113523	133161
1318	113610	133076
1319	113710	133006
1320	113793	132917
1321	113899	132853
1322	113984	132766
1323	114072	132682
1324	114159	132597
1325	114251	132517
1326	114337	132431
1327	114421	132342
1328	114506	132255
1329	114590	132167
1330	114676	132080
1331	114771	132004
1332	114858	131919
1333	114950	131839
1334	115037	131753
1335	115125	131671
1336	115216	131589
1337	115306	131508
1338	115384	131412
1339	115470	131325
1340	115556	131239
1341	115644	131155
1342	115743	131084
1343	115822	130989
1344	115908	130903
1345	115991	130813
1346	116078	130728
1347	116162	130639
1348	116253	130558
1349	116335	130467
1350	116418	130378
1351	116504	130291
1352	116588	130203
1353	116669	130111
1354	116767	130038
1355	116846	129944
1356	116933	129859
1357	117020	129773
1358	117104	129685
1359	117196	129605
1360	117284	129521
1361	117374	129439
1362	117455	129347
1363	117536	129255
1364	117613	129159
1365	117694	129067
1366	117793	128995
1367	117881	128911
1368	117965	128823
1369	118052	128737
1370	118135	128647
1371	118217	128557
1372	118300	128467
1373	118387	128382
1374	118470	128292
1375	118554	128204
1376	118636	128113
1377	118724	128029
1378	118807	127940
1379	118906	127867
1380	118984	127772
1381	119068	127683
1382	119150	127593
1383	119235	127506
1384	119324	127423
1385	119411	127337
1386	119494	127247
1387	119577	127158
1388	119662	127071
1389	119751	126987
1390	119837	126901
1391	119934	126827
1392	120023	126744
1393	120117	126665
1394	120204	126580
1395	120284	126488
1396	120373	126404
1397	120453	126312
1398	120534	126220
1399	120618	126132
1400	120703	126044
1401	120786	125955
1402	120880	125877
1403	120976	125801
1404	121062	125715
1405	121147	125627
1406	121233	125541
1407	121314	125450
1408	121406	125370
1409	121483	125274
1410	121569	125188
1411	121654	125101
1412	121741	125015
1413	121826	124927
1414	121909	124838
1415	122008	124766
1416	122091	124676
1417	122177	124589
1418	122260	124500
1419	122344	124412
1420	122430	124326
1421	122516	124239
1422	122596	124147
1423	122678	124057
1424	122762	123968
1425	122843	123877
1426	122929	123791
1427	123027	123716
1428	123125	123641
1429	123222	123567
1430	123308	123480
1431	123395	123395
1432	123487	123314
1433	123571	123226
1434	123651	123134
1435	123735	123046
1436	123821	122959
1437	123900	122866
1438	123983	122777
1439	124224	122844
1440	124305	122752
1441	124386	122661
1442	124470	122572
1443	124562	122492
1444	124655	122412
1445	124739	122324
1446	124828	122240
1447	124910	122149
1448	125009	122076
1449	125097	121991
1450	125188	121909
1451	125276	121825
1452	125363	121739
1453	125447	121651
1454	125537	121568
1455	125632	121490
1456	125727	121413
1457	125819	121332
1458	125907	121247
1459	125993	121161
1460	126079	121074
1461	126159	120982
1462	126255	120904
1463	126339	120816
1464	126422	120726
1465	126503	120636
1466	126587	120546
1467	126675	120462
1468	126761	120375
1469	126849	120291
1470	126930	120200
1471	127021	120118
1472	127106	120030
1473	127191	119943
1474	127286	119864
1475	127372	119778
1476	127454	119688
1477	127541	119602
1478	127622	119511
1479	127704	119420
1480	127786	119330
1481	127872	119243
1482	127953	119152
1483	128034	119061
1484	128121	118976
1485	128208	118890
1486	128302	118810
1487	128386	118723
1488	128464	118629
1489	128544	118536
1490	128631	118451
1491	128712	118360
1492	128799	118274
1493	128884	118187
1494	128968	118098
1495	129042	118001
1496	129134	117920
1497	129218	117831
1498	129315	117755
1499	129398	117666
1500	129486	117581
1501	129570	117493
1502	129659	117409
1503	129740	117318
1504	129826	117231
1505	129909	117143
1506	129992	117053
1507	130069	116958
1508	130170	116886
1509	130254	116797
1510	130353	116723
1511	130438	116635
1512	130524	116548
1513	130604	116456
1514	130690	116371
1515	130772	116280
1516	130860	116195
1517	130945	116108
1518	131030	116020
1519	131112	115931
1520	131201	115846
1521	131284	115757
1522	131385	115684
1523	131469	115596
1524	131557	115511
1525	131637	115420
1526	131721	115331
1527	131805	115243
1528	131889	115154
1529	131973	115066
1530	132059	114980
1531	132143	114892
1532	132226	114803
1533	132306	114711
1534	132392	114625
1535	132500	114557
1536	132591	114475
1537	132679	114390
1538	132764	114303
1539	132846	114213
1540	132929	114124
1541	133008	114031
1542	133093	113944
1543	133170	113850
1544	133257	113764
1545	133344	113679
1546	133443	113603
1547	133519	113508
1548	133608	113424
1549	133697	113341
1550	133780	113251
1551	133864	113163
1552	133950	113077
1553	134032	112987
1554	134116	112899
1555	134202	112812
1556	134284	112723
1557	134367	112634
1558	134468	112560
1559	134552	112472
1560	134636	112384
1561	134723	112298
1562	134805	112208
1563	134888	112119
1564	134978	112036
1565	135072	111956
1566	135157	111869
1567	135246	111785
1568	135331	111698
1569	135419	111613
1570	135523	111541
1571	135602	111449
1572	135687	111362
1573	135771	111274
1574	135858	111187
1575	135942	111100
1576	136029	111014
1577	136112	110925
1578	136203	110842
1579	136289	110756
1580	136376	110670
1581	136458	110581
1582	136558	110506
1583	136638	110415
1584	136724	110328
1585	136807	110239
1586	136891	110151
1587	136976	110063
1588	137067	109981
1589	137150	109892
1590	137241	109810
1591	137329	109725
1592	137413	109637
1593	137497	109549
1594	137593	109470
1595	137676	109381
1596	137764	109297
1597	137853	109213
1598	137938	109126
1599	138025	109039
1600	138108	108951
1601	138195	108865
1602	138282	108779
1603	138368	108693
1604	138451	108604
1605	138532	108514
1606	138627	108434
1607	138713	108348
1608	138797	108260
1609	138885	108175
1610	138973	108090
1611	139059	108003
1612	139145	107917
1613	139225	107826
1614	139308	107737
1615	139393	107650
1616	139480	107564
1617	139557	107471
1618	139664	107401
1619	139748	107312
1620	139830	107223
1621	139912	107134
1622	139999	107047
1623	140049	106934
1624	140141	106852
1625	140223	106762
1626	140308	106675
1627	140392	106588
1628	140479	106502
1629	140567	106417
1630	140672	106345
1631	140758	106259
1632	140840	106169
1633	140927	106083
1634	141012	105996
1635	141096	105908
1636	141181	105821
1637	141279	105743
1638	141378	105666
1639	141468	105584
1640	141552	105495
1641	141636	105408
1642	141728	105326
1643	141810	105236
1644	141893	105148
1645	141976	105058
1646	142064	104974
1647	142151	104888
1648	142232	104798
1649	142321	104714
1650	142403	104624
1651	142494	104541
1652	142577	104453
1653	142661	104365
1654	142761	104289
1655	142850	104204
1656	142934	104117
1657	143016	104027
1658	143099	103939
1659	143180	103849
1660	143269	103764
1661	143355	103677
